LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,lsoa11cd,lsoa11nm,IMDScore,IncScore,EmpScore,EduScore,HDDScore,CriScore,BHSScore,EnvScore,IDCScore,IDOScore,CYPScore,ASScore,GBScore,WBScore,IndScore,OutScore
E01003675,10,4,4,1,1,16,10,22,59,36,E01003675,Redbridge 036A,14.67,0.091,0.042,4.026,-1.069,1.084,23.54,31.027,0.087,0.173,-1.785,0.237,-0.822,2.923,-0.56,1.885
E01003676,3,7,2,3,0,3,1,6,34,29,E01003676,Redbridge 036B,10.273,0.077,0.057,4.400000000000001,-0.758,-0.003,19.979,21.916,0.057,0.168,-1.196,0.231,-1.233,2.426,-0.209,0.911
E01003677,13,11,3,2,2,4,10,27,66,27,E01003677,Redbridge 036C,9.431,0.064,0.043,5.969,-0.952,-0.179,26.858,21.094,0.031,0.144,-1.095,0.255,0.169,1.755,-0.549,1.125
E01003678,8,6,3,1,1,2,1,5,28,33,E01003678,Redbridge 036D,9.727,0.073,0.045,3.453,-1.165,0.157,26.479,18.305,0.08,0.133,-1.286,0.216,0.252,1.423,-0.728,0.99
E01003679,8,6,0,0,0,1,2,2,16,11,E01003679,Redbridge 036E,9.012,0.067,0.043,5.657,-0.958,-0.002,21.395,22.123,0.052,0.154,-1.526,0.261,-0.221,1.616,-0.573,1.225
E01003680,7,16,0,1,1,1,1,4,25,7,E01003680,Redbridge 036F,7.709,0.066,0.039,9.034,-1.547,-0.29,20.629,16.679,0.058,0.106,-0.733,0.282,-0.511,1.955,-0.62,0.776
E01003681,13,15,5,3,4,9,6,15,33,71,E01003681,Redbridge 036G,15.84,0.13,0.056,8.087,-0.876,0.238,32.095,23.095,0.11,0.282,-0.971,0.282,0.004,3.274,-0.181,0.988
E01003682,4,9,1,2,0,1,1,2,35,21,E01003682,Redbridge 036H,8.29,0.068,0.031,4.742,-1.76,0.344,20.125,19.717,0.061,0.152,-1.405,0.244,-0.291,1.481,-0.232,0.729
E01003683,5,5,6,3,1,3,4,11,16,42,E01003683,Redbridge 030A,20.176,0.155,0.083,19.625,-0.855,0.048,29.944,28.581,0.171,0.241,-0.069,0.348,-0.996,4.101,0.195,0.986
E01003684,3,13,1,1,1,8,2,6,13,30,E01003684,Redbridge 030B,18.413,0.168,0.078,15.115,-0.841,-0.196,27.664,24.246,0.188,0.283,-0.592,0.345,-1.106,3.827,0.034,0.828
E01003685,6,7,6,0,0,1,4,9,28,30,E01003685,Redbridge 030C,20.929,0.177,0.074,14.234,-0.626,0.386,31.933,25.564,0.22,0.317,-0.348,0.317,-0.829,4.291000000000001,-0.015,1.013
E01003686,3,10,8,3,0,6,12,16,24,47,E01003686,Redbridge 030D,26.378,0.152,0.1,19.765,-0.651,1.101,32.263,35.751,0.148,0.297,0.094,0.329,-0.611,4.183,0.302,1.426
E01003688,10,17,16,1,0,16,13,28,19,65,E01003688,Redbridge 030F,25.262,0.171,0.088,22.343,-0.358,0.54,39.32,25.045,0.175,0.327,0.147,0.35,-0.095,4.539,-0.176,1.155
E01003689,63,47,150,7,13,63,92,807,94,236,E01003689,Redbridge 030G,31.258,0.182,0.092,15.818,0.175,1.622,34.719,35.958,0.15,0.402,-0.748,0.361,-0.774,4.614,0.145,1.651
E01003690,13,26,39,5,3,19,40,89,60,84,E01003690,Redbridge 035A,18.556,0.11,0.047,7.594,-0.659,1.337,28.965,29.012,0.108,0.223,-0.549,0.244,-1.333,4.057000000000001,0.056,1.218
E01003691,3,14,6,1,0,2,1,7,25,18,E01003691,Redbridge 035B,13.561,0.113,0.059,7.674,-0.49,0.007,23.217,23.189,0.112,0.179,-0.811,0.267,-1.743,3.163,-0.13,0.943
E01003692,8,9,7,2,0,2,0,6,37,22,E01003692,Redbridge 035C,14.631,0.124,0.071,6.639,-1.147,0.21,23.792,24.678,0.137,0.24,-0.904,0.256,-1.11,3.135,0.006,0.908
E01003693,3,8,3,1,0,1,3,6,25,17,E01003693,Redbridge 035D,14.247,0.111,0.058,9.894,-0.896,0.53,22.627,22.131,0.133,0.188,-0.472,0.273,-0.453,2.288,-0.18,0.902
E01003694,2,8,0,1,0,0,1,4,21,25,E01003694,Redbridge 035E,16.177,0.127,0.066,7.93,-1.251,0.681,23.641,27.226,0.121,0.215,-1.084,0.284,-0.995,3.055,0.075,1.043
E01003695,4,12,0,1,0,7,4,6,23,26,E01003695,Redbridge 035F,22.931,0.171,0.114,7.019,-0.346,0.24,30.437,32.594,0.138,0.283,-0.895,0.262,-1.207,4.235000000000001,0.404,1.021
E01003696,5,4,4,2,2,4,0,5,33,30,E01003696,Redbridge 035G,11.491,0.121,0.046,3.671,-1.172,-0.29,27.571,18.549,0.155,0.236,-1.029,0.208,-0.298,3.039,-0.639,0.965
E01003697,13,26,7,3,0,2,4,60,39,27,E01003697,Redbridge 035H,17.925,0.113,0.063,5.454,-1.059,0.698,33.414,33.271,0.103,0.237,-1.337,0.254,0.316,2.7,-0.394,1.948
E01003698,5,12,0,0,0,2,4,2,17,15,E01003698,Redbridge 006A,14.458,0.075,0.06,18.199,-0.774,0.476,18.763,31.998,0.093,0.155,-0.066,0.332,-0.376,1.339,0.492,0.813
E01003699,10,12,3,0,0,9,3,29,31,29,E01003699,Redbridge 006B,13.898,0.085,0.051,20.895,-0.583,0.199,28.291,14.579,0.086,0.134,0.296,0.312,0.274,1.737,-0.633,0.568
E01003700,12,21,12,4,3,12,6,27,62,52,E01003700,Redbridge 006C,18.062,0.115,0.086,18.471,-0.466,0.259,22.102,28.602,0.097,0.229,0.018,0.325,-0.919,2.717,0.233,0.939
E01003701,12,23,8,0,3,5,13,75,38,49,E01003701,Redbridge 006D,16.423,0.095,0.058,13.265,-0.657,0.862,23.392,29.368,0.105,0.175,-0.437,0.314,-0.922,2.969,0.33,0.855
E01003702,9,21,3,1,0,6,2,15,30,24,E01003702,Redbridge 006E,16.747,0.113,0.066,14.634,-0.516,0.391,27.29,24.748,0.161,0.171,-0.319,0.319,-0.271,2.941,0.175,0.66
E01003703,4,10,0,6,0,3,0,8,13,42,E01003703,Redbridge 006F,14.522,0.093,0.064,14.211,-1.363,-0.106,36.393,13.915,0.113,0.144,-0.24,0.307,0.656,2.127,-0.43,0.317
E01003704,12,23,2,1,3,11,2,27,30,29,E01003704,Redbridge 006G,18.734,0.128,0.095,14.581,-0.261,0.108,23.941,26.014,0.179,0.211,-0.269,0.314,-1.358,3.246,0.175,0.788
E01003705,10,14,2,1,2,16,14,78,12,53,E01003705,Redbridge 010A,14.277,0.103,0.057,13.236,-1.19,0.674,22.665,19.391,0.142,0.134,-0.285,0.299,-0.865,2.784,-0.244,0.71
E01003706,9,16,4,1,1,5,1,3,19,21,E01003706,Redbridge 010B,16.311,0.152,0.083,12.409,-0.512,-0.364,23.239,16.574,0.198,0.199,-0.438,0.303,-0.997,2.983,-0.4,0.581
E01003707,10,9,1,0,0,4,3,6,25,19,E01003707,Redbridge 008A,15.526,0.127,0.078,10.891,-1.016,0.365,20.437,22.205,0.134,0.196,-0.53,0.292,-0.945,2.378,-0.201,0.936
E01003708,28,15,8,2,2,7,3,9,27,43,E01003708,Redbridge 008B,28.999,0.221,0.159,19.777,0.01,0.06,30.601,20.283,0.245,0.307,-0.157,0.359,-1.177,4.247,-0.055,0.554
E01003709,0,15,2,2,0,4,2,7,19,19,E01003709,Redbridge 008C,9.673,0.071,0.048,10.625,-1.058,0.007,19.504,20.926,0.063,0.114,-0.547,0.289,-0.962,2.193,-0.181,0.79
E01003710,1,2,3,0,0,2,0,2,11,9,E01003710,Redbridge 008D,10.916,0.078,0.052,12.597,-0.762,0.211,19.409,16.753,0.079,0.145,-0.478,0.309,-0.607,1.833,-0.629,0.79
E01003711,9,13,7,2,1,7,6,34,24,35,E01003711,Redbridge 010C,16.89,0.114,0.071,9.294,-0.292,0.527,26.802,22.074,0.092,0.201,-0.862,0.293,-0.187,2.698,-0.047,0.731
E01003712,7,4,8,0,2,2,1,6,21,20,E01003712,Redbridge 010D,39.856,0.297,0.213,19.049,0.36,0.13,39.859,18.321,0.291,0.451,-0.126,0.348,0.17,4.143,-0.583,0.906
E01003713,2,7,2,1,0,1,3,5,14,24,E01003713,Redbridge 034A,17.315,0.149,0.075,12.93,-0.653,-0.016,26.783,23.732,0.185,0.216,-0.332,0.3,-0.639,3.359,0.047,0.759
E01003714,16,20,8,3,1,11,9,20,14,62,E01003714,Redbridge 034B,19.087,0.139,0.08,12.236,-0.526,0.345,26.321,31.454,0.134,0.266,-0.516,0.308,-1.914,3.742,0.262,1.142
E01003715,8,16,6,1,1,9,5,15,28,39,E01003715,Redbridge 034C,19.475,0.145,0.074,14.396,-0.933,0.574,29.396,27.563,0.162,0.295,-0.423,0.326,-0.943,4.01,0.077,1.066
E01003716,10,18,11,1,0,8,11,16,20,36,E01003716,Redbridge 034D,22.223,0.147,0.086,12.218,-0.322,1.053,24.877,29.568,0.152,0.277,-0.557,0.311,-1.163,3.36,0.343,0.852
E01003718,11,4,6,0,0,1,4,9,22,30,E01003718,Redbridge 034E,18.677,0.136,0.069,11.117,-0.699,0.518,29.188,30.461,0.141,0.302,-0.474,0.29,-1.531,4.115,0.268,1.044
E01003719,10,21,11,5,1,16,7,31,36,69,E01003719,Redbridge 034F,23.275,0.164,0.084,12.205,-0.584,1.156,27.939,28.903,0.165,0.267,-0.246,0.281,-1.842,3.975,0.024,1.25
E01003720,4,14,2,1,1,10,3,38,17,38,E01003720,Redbridge 002A,30.716,0.212,0.147,30.665,0.404,0.075,28.386,25.121,0.252,0.289,0.477,0.388,-0.612,3.614,0.25,0.562
E01003721,5,18,3,2,0,3,1,18,16,29,E01003721,Redbridge 003A,19.545,0.112,0.087,20.444,-0.256,0.385,31.654,16.832,0.122,0.133,0.219,0.319,0.148,2.819,-0.237,0.423
E01003722,6,13,6,2,1,3,2,13,28,40,E01003722,Redbridge 002B,24.506,0.177,0.118,25.391,-0.344,0.359,30.791,14.729,0.218,0.188,-0.077,0.406,-0.072,3.203,-0.509,0.48
E01003723,10,12,2,0,1,3,0,6,18,49,E01003723,Redbridge 002C,28.091,0.187,0.132,30.908,-0.406,0.706,28.267,24.767,0.23,0.261,0.292,0.415,-0.455,3.403,0.298,0.427
E01003724,3,17,0,1,0,3,0,7,16,23,E01003724,Redbridge 003B,18.246,0.11,0.08,18.437,-0.647,0.398,32.57,17.473,0.135,0.167,-0.213,0.351,0.412,2.184,-0.254,0.518
E01003725,5,9,0,0,0,5,3,6,14,18,E01003725,Redbridge 003C,26.212,0.19,0.13,27.904,-0.251,0.451,27.27,16.766,0.241,0.253,0.426,0.368,-0.38,3.115,-0.197,0.368
E01003726,11,22,19,5,0,11,5,28,41,53,E01003726,Redbridge 002D,31.711,0.202,0.15,26.502,-0.093,0.352,42.77,20.215,0.235,0.281,0.35,0.365,0.47,3.92,-0.009,0.476
E01003727,12,10,1,0,1,6,0,5,11,39,E01003727,Redbridge 003D,29.893,0.195,0.148,31.037,0.118,0.649,25.96,22.425,0.255,0.23,0.27,0.419,-0.905,3.432,0.073,0.586
E01003729,15,15,26,3,3,19,12,67,31,76,E01003729,Redbridge 032B,29.466,0.203,0.101,20.009,-0.174,0.723,37.321,37.229,0.24,0.401,-0.349,0.378,-1.015,4.992,0.187,1.687
